,id,number_of_cpu_cores,occupied_cores,voltages_frequencies,ISL,capacitance,powerIdle,batteryLevel,errorRate,acceptableTasks,handleSafeTask
11,iot 11,4,"[0, 0, 0, 0]","[[(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)]]",0.15,"[2.4733679808247334e-10, 2.854516243212362e-10, 2.4246915002034604e-10, 2.884826803933122e-10]","[0.0009, 0.0007999999999999999, 0.0009, 0.0007999999999999999]",40000000000.0,0.04,"[3, 2]",1
12,iot 12,4,"[0, 0, 0, 0]","[[(10000000.0, 1.8), (20000000.0, 2.3), (160000000.0, 5.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(10000000.0, 1.8), (20000000.0, 2.3), (80000000.0, 4.0)]]",0.15,"[2.5196666248276216e-10, 2.530306670503347e-10, 2.090622420011286e-10, 2.6549085249221453e-10]","[0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0009]",37000000000.0,0.04,"[2, 4]",1
13,iot 13,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (10000000.0, 1.8)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (160000000.0, 5.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)], [(10000000.0, 1.8), (160000000.0, 5.0), (80000000.0, 4.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (80000000.0, 4.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(20000000.0, 2.3), (80000000.0, 4.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (10000000.0, 1.8), (160000000.0, 5.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)]]",0.13,"[2.76501479547553e-10, 2.881942857266398e-10, 2.1058180105491987e-10, 2.7439478468497104e-10, 2.8167729246534324e-10, 2.3477991578540274e-10, 2.0321564249840455e-10, 2.591202558688326e-10, 2.0903236373712952e-10, 2.862671665991486e-10, 2.2468465536857762e-10, 2.8481953504577106e-10, 2.3393155468545215e-10, 2.0294533615965346e-10, 2.1968383164282052e-10, 2.5206123395640436e-10]","[0.0007999999999999999, 0.0009, 0.001, 0.0009, 0.0009, 0.0009, 0.0009, 0.001, 0.001, 0.001, 0.0009, 0.001, 0.001, 0.0009, 0.0007999999999999999, 0.001]",39000000000.0,0.05,"[3, 2]",1
14,iot 14,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(10000000.0, 1.8), (160000000.0, 5.0), (80000000.0, 4.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (160000000.0, 5.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (160000000.0, 5.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (40000000.0, 2.7), (160000000.0, 5.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)]]",0.16,"[2.898253254596466e-10, 2.4555145620907777e-10, 2.1147245513759412e-10, 2.5756458854837517e-10, 2.698942995076366e-10, 2.8994570173880757e-10, 2.1507642361745562e-10, 2.0454755114164317e-10]","[0.0009, 0.001, 0.001, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0009]",40000000000.0,0.01,"[3, 2]",0
15,iot 15,4,"[0, 0, 0, 0]","[[(160000000.0, 5.0), (80000000.0, 4.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)], [(40000000.0, 2.7), (80000000.0, 4.0), (20000000.0, 2.3)]]",0.19,"[2.8450243064607497e-10, 2.522442681017057e-10, 2.1574582308191027e-10, 2.6752138882024033e-10]","[0.0009, 0.0009, 0.001, 0.0007999999999999999]",36000000000.0,0.01,"[3, 4, 1]",1
16,iot 16,4,"[0, 0, 0, 0]","[[(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (160000000.0, 5.0)]]",0.17,"[2.840277765839305e-10, 2.3576193249703093e-10, 2.773722972343202e-10, 2.7802301701138037e-10]","[0.0007999999999999999, 0.0009, 0.001, 0.001]",36000000000.0,0.03,"[3, 1]",0
17,iot 17,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (10000000.0, 1.8)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)]]",0.11,"[2.0211493422803568e-10, 2.609516409057104e-10, 2.4850702614831083e-10, 2.8171960374525297e-10, 2.3733179718952287e-10, 2.2357858285509704e-10, 2.623278765910057e-10, 2.781347806504604e-10]","[0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0009]",40000000000.0,0.02,"[2, 4]",1
18,iot 18,4,"[0, 0, 0, 0]","[[(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)]]",0.12,"[2.797698905286464e-10, 2.644273351025703e-10, 2.145290778405738e-10, 2.0447611229479283e-10]","[0.001, 0.0009, 0.0007999999999999999, 0.001]",40000000000.0,0.01,"[2, 4, 3]",1
19,iot 19,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(20000000.0, 2.3), (40000000.0, 2.7), (10000000.0, 1.8)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (10000000.0, 1.8)], [(160000000.0, 5.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)]]",0.18,"[2.9445405739928345e-10, 2.4201631438986644e-10, 2.8511458801744565e-10, 2.77710889292828e-10, 2.0833098873600654e-10, 2.835459219419753e-10, 2.8444964357767034e-10, 2.8952345658276764e-10, 2.992263208270367e-10, 2.4705447756809235e-10, 2.935012706674723e-10, 2.584788969930437e-10, 2.719173278820117e-10, 2.602602727863583e-10, 2.9418177067720345e-10, 2.0024551957645704e-10]","[0.001, 0.0009, 0.0007999999999999999, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.001, 0.0007999999999999999, 0.001, 0.0009, 0.0007999999999999999, 0.0009, 0.001, 0.0009, 0.0009]",40000000000.0,0.01,"[2, 1, 3]",1
20,iot 20,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (20000000.0, 2.3), (80000000.0, 4.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (80000000.0, 4.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (40000000.0, 2.7), (160000000.0, 5.0)]]",0.18,"[2.0922586745572824e-10, 2.631035299653451e-10, 2.0790604663618617e-10, 2.1698794802399366e-10, 2.6805373013008345e-10, 2.2251338077687583e-10, 2.9573536110752785e-10, 2.8805248528310847e-10, 2.037704442927029e-10, 2.0996588482788635e-10, 2.019330768887456e-10, 2.9385641619554354e-10, 2.1281694308946302e-10, 2.4038651085669586e-10, 2.2161436382317625e-10, 2.8545536090076326e-10]","[0.0009, 0.0009, 0.001, 0.0007999999999999999, 0.001, 0.001, 0.001, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.0007999999999999999]",38000000000.0,0.04,"[1, 3, 4]",1
21,iot 21,4,"[0, 0, 0, 0]","[[(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(80000000.0, 4.0), (10000000.0, 1.8), (160000000.0, 5.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (160000000.0, 5.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)]]",0.12,"[2.1263159620044614e-10, 2.5159903558334967e-10, 2.5044613794928373e-10, 2.904216832496819e-10]","[0.001, 0.0007999999999999999, 0.001, 0.001]",38000000000.0,0.03,"[3, 1]",1
22,iot 22,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (40000000.0, 2.7), (160000000.0, 5.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)]]",0.15,"[2.924411787666211e-10, 2.882481925960482e-10, 2.9105959912057223e-10, 2.893049580739829e-10, 2.235858948345885e-10, 2.7015448535114796e-10, 2.2973627368797711e-10, 2.7884300781819606e-10]","[0.0009, 0.0009, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0009, 0.001, 0.0007999999999999999]",40000000000.0,0.05,"[2, 1]",1
23,iot 23,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)]]",0.19,"[2.2604759585178394e-10, 2.6341320869458177e-10, 2.840937777437474e-10, 2.166018911210851e-10, 2.3933677625691286e-10, 2.8082115907709967e-10, 2.7959403418291714e-10, 2.6302428544175756e-10]","[0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0009, 0.0009, 0.001, 0.0009]",39000000000.0,0.03,"[2, 1, 3]",1
