,id,number_of_cpu_cores,occupied_cores,voltages_frequencies,ISL,capacitance,powerIdle,batteryLevel,errorRate,acceptableTasks,handleSafeTask
10,iot 10,4,"[0, 0, 0, 0]","[[(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(80000000.0, 4.0), (10000000.0, 1.8), (160000000.0, 5.0)]]",0.2,"[2.0406826038622911e-10, 2.575176171530008e-10, 2.557265310812089e-10, 2.0185117741028684e-10]","[0.001, 0.0007999999999999999, 0.0009, 0.0009]",36000000000.0,0.05,"[2, 4, 1]",1
11,iot 11,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)]]",0.11,"[2.4774533615896007e-10, 2.56062074875829e-10, 2.7328400650837157e-10, 2.671412397194136e-10, 2.744398640528672e-10, 2.2112897621401393e-10, 2.404796181039513e-10, 2.846185745184031e-10]","[0.0009, 0.0009, 0.0009, 0.001, 0.001, 0.0009, 0.0007999999999999999, 0.001]",40000000000.0,0.01,"[1, 3, 2]",0
12,iot 12,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)]]",0.11,"[2.517456591143703e-10, 2.675254360484448e-10, 2.2525906822120512e-10, 2.2849198192815398e-10, 2.6301195222002657e-10, 2.579182762393912e-10, 2.496413877034086e-10, 2.745272905116598e-10]","[0.0009, 0.0009, 0.001, 0.0009, 0.0009, 0.0009, 0.0007999999999999999, 0.0007999999999999999]",40000000000.0,0.03,"[2, 4]",1
13,iot 13,4,"[0, 0, 0, 0]","[[(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (80000000.0, 4.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)]]",0.15,"[2.019847937482692e-10, 2.4230445480022117e-10, 2.517187999173479e-10, 2.6344217217120794e-10]","[0.001, 0.0009, 0.0007999999999999999, 0.001]",38000000000.0,0.02,"[1, 2, 4]",1
14,iot 14,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(80000000.0, 4.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(10000000.0, 1.8), (20000000.0, 2.3), (80000000.0, 4.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (80000000.0, 4.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(80000000.0, 4.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(80000000.0, 4.0), (40000000.0, 2.7), (160000000.0, 5.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (160000000.0, 5.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)]]",0.18,"[2.576812605010783e-10, 2.837117760542527e-10, 2.2577450538662763e-10, 2.2090799206140146e-10, 2.4584360786665116e-10, 2.6089495547008484e-10, 2.708202624225865e-10, 2.531803843928186e-10, 2.1394216679116626e-10, 2.684925467814403e-10, 2.1228501285316588e-10, 2.0781558674518443e-10, 2.025137616445451e-10, 2.859230140570052e-10, 2.2247455432210321e-10, 2.066997177520666e-10]","[0.001, 0.001, 0.0009, 0.0007999999999999999, 0.001, 0.0009, 0.0007999999999999999, 0.0009, 0.0009, 0.0009, 0.001, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.0007999999999999999]",37000000000.0,0.05,"[2, 4]",1
15,iot 15,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(40000000.0, 2.7), (20000000.0, 2.3), (10000000.0, 1.8)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(160000000.0, 5.0), (80000000.0, 4.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(20000000.0, 2.3), (40000000.0, 2.7), (10000000.0, 1.8)], [(20000000.0, 2.3), (10000000.0, 1.8), (160000000.0, 5.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)]]",0.2,"[2.2358257029045402e-10, 2.1950737056186977e-10, 2.6512240767559657e-10, 2.521660655488419e-10, 2.1611940873050847e-10, 2.2995169929288126e-10, 2.1755188928882188e-10, 2.751372342374174e-10, 2.8386300008403733e-10, 2.465275582802153e-10, 2.092815846653032e-10, 2.2747995969964441e-10, 2.5152812016287906e-10, 2.0904045018750602e-10, 2.3898675822932747e-10, 2.9829936111384345e-10]","[0.0007999999999999999, 0.0009, 0.001, 0.0009, 0.0009, 0.0009, 0.0007999999999999999, 0.0009, 0.0009, 0.0007999999999999999, 0.001, 0.0009, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.0009]",37000000000.0,0.04,"[4, 2]",1
16,iot 16,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(160000000.0, 5.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(160000000.0, 5.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (20000000.0, 2.3), (10000000.0, 1.8)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)]]",0.14,"[2.8580877408124666e-10, 2.419405983060642e-10, 2.886210266701212e-10, 2.175930438900443e-10, 2.826582109930455e-10, 2.873314632769664e-10, 2.137413328862397e-10, 2.3698305401778424e-10]","[0.0007999999999999999, 0.0007999999999999999, 0.001, 0.001, 0.001, 0.0007999999999999999, 0.001, 0.0009]",37000000000.0,0.02,"[2, 4]",1
17,iot 17,4,"[0, 0, 0, 0]","[[(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)]]",0.15,"[2.9807338297713423e-10, 2.5150419948249534e-10, 2.635524361855526e-10, 2.580464676069836e-10]","[0.001, 0.001, 0.001, 0.001]",36000000000.0,0.05,"[4, 3]",1
18,iot 18,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(80000000.0, 4.0), (10000000.0, 1.8), (160000000.0, 5.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (80000000.0, 4.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)]]",0.17,"[2.7650769615969174e-10, 2.832445552729044e-10, 2.8377965496171983e-10, 2.766267911077933e-10, 2.8521157940666024e-10, 2.6748026250399055e-10, 2.8885575759266387e-10, 2.585838177662163e-10, 2.603026177211731e-10, 2.0403902106585048e-10, 2.1301716836386297e-10, 2.6745440093500004e-10, 2.076138016994901e-10, 2.3249886116152263e-10, 2.3613101702507055e-10, 2.8334013069901387e-10]","[0.001, 0.0009, 0.0007999999999999999, 0.001, 0.001, 0.0007999999999999999, 0.0009, 0.001, 0.0007999999999999999, 0.001, 0.0009, 0.001, 0.0009, 0.001, 0.0007999999999999999, 0.001]",36000000000.0,0.02,"[4, 3]",1
19,iot 19,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(40000000.0, 2.7), (80000000.0, 4.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (80000000.0, 4.0)], [(40000000.0, 2.7), (80000000.0, 4.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (20000000.0, 2.3), (10000000.0, 1.8)]]",0.17,"[2.2577616984151252e-10, 2.5445073325750806e-10, 2.0843236307894273e-10, 2.7255025443299597e-10, 2.2947917324537005e-10, 2.253880417041549e-10, 2.2694222793059131e-10, 2.5634670239417154e-10]","[0.001, 0.001, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.001, 0.0007999999999999999, 0.0007999999999999999]",37000000000.0,0.02,"[1, 4]",0
20,iot 20,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(80000000.0, 4.0), (40000000.0, 2.7), (160000000.0, 5.0)]]",0.12,"[2.7589015959600644e-10, 2.009934247699626e-10, 2.0939188859084342e-10, 2.705731904268342e-10, 2.584095166511501e-10, 2.3703744275008505e-10, 2.95487144973994e-10, 2.613874839662592e-10, 2.1840326279286267e-10, 2.36594376097333e-10, 2.135198811222707e-10, 2.5340694334748886e-10, 2.8795466268578333e-10, 2.687015199832426e-10, 2.7522778123976054e-10, 2.2583983834079336e-10]","[0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.001, 0.0009, 0.001, 0.0009, 0.001, 0.0009, 0.001, 0.0009, 0.001]",36000000000.0,0.02,"[2, 1, 3]",1
