,id,number_of_cpu_cores,occupied_cores,voltages_frequencies,ISL,capacitance,powerIdle,batteryLevel,errorRate,acceptableTasks,handleSafeTask
10,iot 10,4,"[0, 0, 0, 0]","[[(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (160000000.0, 5.0)]]",0.19,"[2.6891632308097914e-10, 2.0759382321626802e-10, 2.005409962374567e-10, 2.102235682863655e-10]","[0.001, 0.001, 0.0009, 0.0009]",36000000000.0,0.05,"[1, 2]",1
11,iot 11,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)]]",0.15,"[2.1453702817242203e-10, 2.329634753075338e-10, 2.0241227887882968e-10, 2.300918965519311e-10, 2.1187069838330093e-10, 2.444162018463735e-10, 2.8639832260763025e-10, 2.478905898492968e-10]","[0.0007999999999999999, 0.001, 0.0007999999999999999, 0.001, 0.0007999999999999999, 0.0009, 0.0009, 0.001]",40000000000.0,0.04,"[2, 1, 4]",0
12,iot 12,4,"[0, 0, 0, 0]","[[(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)]]",0.18,"[2.2078421795220972e-10, 2.0612772880947194e-10, 2.6467883564905936e-10, 2.753323483440384e-10]","[0.0007999999999999999, 0.001, 0.0007999999999999999, 0.0009]",40000000000.0,0.01,"[1, 2]",1
13,iot 13,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(20000000.0, 2.3), (10000000.0, 1.8), (40000000.0, 2.7)], [(80000000.0, 4.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)], [(80000000.0, 4.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(40000000.0, 2.7), (80000000.0, 4.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(40000000.0, 2.7), (160000000.0, 5.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (40000000.0, 2.7), (10000000.0, 1.8)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (80000000.0, 4.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)]]",0.19,"[2.2922940471077788e-10, 2.9738187719010423e-10, 2.260188789720326e-10, 2.0679972216964994e-10, 2.669137499080677e-10, 2.475221128817828e-10, 2.0523952916264562e-10, 2.991790730481694e-10, 2.536744309205202e-10, 2.3880207955369114e-10, 2.5637938811023167e-10, 2.1612496363195506e-10, 2.9758115372662353e-10, 2.503146688098177e-10, 2.041905783402966e-10, 2.3273706832174278e-10]","[0.001, 0.0009, 0.0009, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0009, 0.001, 0.001, 0.001, 0.0009, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.0009]",39000000000.0,0.03,"[1, 3, 2]",0
14,iot 14,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (160000000.0, 5.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (80000000.0, 4.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (80000000.0, 4.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(160000000.0, 5.0), (80000000.0, 4.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)]]",0.16,"[2.832018151236654e-10, 2.1560225085685678e-10, 2.6475854990019547e-10, 2.952387803267992e-10, 2.849515323027518e-10, 2.428618724258495e-10, 2.463504593629549e-10, 2.706849275773765e-10, 2.5179870797021886e-10, 2.8299325999334504e-10, 2.3597857337025873e-10, 2.256513287669105e-10, 2.002588353047341e-10, 2.350946282777721e-10, 2.95793794755446e-10, 2.7813307527035235e-10]","[0.0009, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0009, 0.0009, 0.001, 0.001, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.001]",39000000000.0,0.02,"[2, 3, 1]",0
15,iot 15,4,"[0, 0, 0, 0]","[[(40000000.0, 2.7), (80000000.0, 4.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)]]",0.14,"[2.3019581189864448e-10, 2.5582077279718235e-10, 2.3273653656763375e-10, 2.853723915519882e-10]","[0.0007999999999999999, 0.001, 0.0007999999999999999, 0.0009]",36000000000.0,0.04,"[1, 4]",1
16,iot 16,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(20000000.0, 2.3), (10000000.0, 1.8), (40000000.0, 2.7)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)]]",0.11,"[2.1947991874163943e-10, 2.1148421865605185e-10, 2.9090805083494425e-10, 2.647052952282047e-10, 2.6222948352403063e-10, 2.8805001468136e-10, 2.3901177638180065e-10, 2.7045032563436696e-10]","[0.001, 0.0007999999999999999, 0.0009, 0.001, 0.001, 0.0009, 0.001, 0.001]",38000000000.0,0.02,"[4, 3]",0
17,iot 17,4,"[0, 0, 0, 0]","[[(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)], [(80000000.0, 4.0), (20000000.0, 2.3), (10000000.0, 1.8)]]",0.14,"[2.0307412544753733e-10, 2.483627164619663e-10, 2.503166010107302e-10, 2.514389988730326e-10]","[0.001, 0.0009, 0.0009, 0.001]",40000000000.0,0.03,"[3, 1]",1
18,iot 18,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(160000000.0, 5.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(40000000.0, 2.7), (20000000.0, 2.3), (10000000.0, 1.8)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (10000000.0, 1.8), (160000000.0, 5.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)]]",0.17,"[2.2984606036145677e-10, 2.451999463367518e-10, 2.8203667407822473e-10, 2.6382611880550073e-10, 2.5951504124400424e-10, 2.8637592267008936e-10, 2.0284353722735937e-10, 2.832752180564951e-10, 2.90554448817778e-10, 2.922080224814174e-10, 2.2694611041413727e-10, 2.7681735761481603e-10, 2.5767861850243736e-10, 2.48151180530607e-10, 2.811061521072629e-10, 2.6739930260829296e-10]","[0.0009, 0.0009, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.001, 0.0009, 0.0007999999999999999, 0.001, 0.0007999999999999999, 0.0009, 0.001, 0.0009, 0.0007999999999999999, 0.0009]",39000000000.0,0.05,"[2, 4]",1
19,iot 19,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(20000000.0, 2.3), (80000000.0, 4.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(40000000.0, 2.7), (80000000.0, 4.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(20000000.0, 2.3), (40000000.0, 2.7), (10000000.0, 1.8)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(80000000.0, 4.0), (20000000.0, 2.3), (40000000.0, 2.7)]]",0.14,"[2.0040646274130843e-10, 2.8102745224313094e-10, 2.040526841989971e-10, 2.089615681160651e-10, 2.0261020292054913e-10, 2.3989343094935996e-10, 2.1955902887245076e-10, 2.803286262576094e-10, 2.6385784292297256e-10, 2.534613431134863e-10, 2.723618680663483e-10, 2.0617919046582722e-10, 2.0139326946146207e-10, 2.983889180397304e-10, 2.540636057252329e-10, 2.7188974044442373e-10]","[0.0009, 0.001, 0.0009, 0.0007999999999999999, 0.0009, 0.0009, 0.001, 0.0007999999999999999, 0.0009, 0.001, 0.0009, 0.0007999999999999999, 0.001, 0.0009, 0.0007999999999999999, 0.001]",40000000000.0,0.01,"[3, 1, 2]",0
20,iot 20,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (20000000.0, 2.3), (10000000.0, 1.8)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)]]",0.18,"[2.314708912439902e-10, 2.9602459931220867e-10, 2.1705282875054044e-10, 2.1362376682938768e-10, 2.6722965938769553e-10, 2.593781543299934e-10, 2.866603192961598e-10, 2.362470415822849e-10]","[0.001, 0.001, 0.0009, 0.0007999999999999999, 0.0009, 0.001, 0.0007999999999999999, 0.0009]",40000000000.0,0.03,"[1, 2, 4]",1
21,iot 21,4,"[0, 0, 0, 0]","[[(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)]]",0.16,"[2.3039158437139539e-10, 2.42803633441433e-10, 2.9584427013723095e-10, 2.895972752653627e-10]","[0.0007999999999999999, 0.0009, 0.0009, 0.001]",37000000000.0,0.02,"[3, 1, 4]",1
22,iot 22,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (10000000.0, 1.8), (40000000.0, 2.7)], [(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)], [(10000000.0, 1.8), (160000000.0, 5.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)]]",0.13,"[2.3525711782817347e-10, 2.0172459156866638e-10, 2.3676812649111586e-10, 2.7445940408250056e-10, 2.412274171571767e-10, 2.932697847888585e-10, 2.727980920707559e-10, 2.503773705330735e-10, 2.616035558582481e-10, 2.867117155787648e-10, 2.6936581504898635e-10, 2.81058427509415e-10, 2.1815894024106425e-10, 2.0874967426811042e-10, 2.606575836145272e-10, 2.9486042840780957e-10]","[0.0009, 0.0009, 0.0009, 0.001, 0.0009, 0.001, 0.001, 0.0009, 0.0009, 0.0007999999999999999, 0.001, 0.0009, 0.001, 0.0007999999999999999, 0.001, 0.0009]",36000000000.0,0.03,"[2, 3, 1]",0
23,iot 23,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(160000000.0, 5.0), (40000000.0, 2.7), (80000000.0, 4.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(10000000.0, 1.8), (160000000.0, 5.0), (80000000.0, 4.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (80000000.0, 4.0), (10000000.0, 1.8)]]",0.16,"[2.707194538939069e-10, 2.1502180296964907e-10, 2.0358407069307837e-10, 2.487200072544758e-10, 2.8392227756591544e-10, 2.2857967499495668e-10, 2.1734875181817834e-10, 2.191754352796139e-10]","[0.001, 0.0009, 0.001, 0.0009, 0.001, 0.0007999999999999999, 0.0009, 0.001]",38000000000.0,0.03,"[2, 1, 3]",1
